,company,impressions_for_wordcloud,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,Overall Stars,Culture & Values,Work/Life Balance,Senior Management,Compensation & Benefits,Career Opportunities,URL,culture_score,ceo_score
67,CHG Healthcare,"{'everyone': 7, 'people': 15, 'really': 4, 'working': 4, 'benefits': 6, 'first': 6, 'site': 2, 'every': 2, 'love': 4, 'year': 1, 'employee': 1, 'free': 3, 'felt': 1, 'feel': 4, 'enjoys': 1, 'enjoy': 1, 'customers': 1, 'differe': 1, 'great': 1, 'culture': 5, 'contribute': 1, 'considered': 1, 'concerns': 1, 'competitive': 1, 'colleagues': 1, 'awesome': 1, 'always': 1, 'going': 1, 'helps': 1, 'group': 1, 'guys': 1, 'willing': 1, 'wellness': 1, 'transparency': 1, 'together': 1, 'thorough': 1, 'think': 3, 'sure': 1, 'salary': 1, 'place': 1, 'medical': 1, 'manager': 1, 'makes': 1, 'make': 1, 'listened': 1, 'listen': 1, 'interviews': 1, 'interacting': 1, 'input': 1, 'honesty': 1, 'allow': 1, 'core': 4, 'values': 4, 'care': 3, 'onsite': 3, 'clinic': 3, 'time': 3, 'health': 3, 'amazing': 3, 'life': 3, 'truly': 3, 'putting': 2, 'balance': 2, 'fun': 2, 'team': 2, 'job': 2, 'family': 2, 'gym': 2, 'leaders': 2, 'best': 2, 'unique': 2, 'community': 2, 'able': 2, 'good': 2, 'help': 2, 'hard': 2, 'difference': 2, 'home': 2, 'business': 2, 'events': 2, 'give': 2, 'better': 2, 'volunteer': 2, 'genuinely': 2, 'cares': 2, 'live': 2, 'need': 2, 'personal': 2, 'schedule': 2, 'benefit': 2, 'leadership': 2}",92% Employees say this is a great place to work,"96% When you join the company, you are made to feel welcome.",95% Our facilities contribute to a good working environment.,95% I feel good about the ways we contribute to the community.,95% People celebrate special events around here.,94% I'm proud to tell others I work here.,4.5,4.6,4.6,4.4,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-CHG-Healthcare-EI_IE40836.11,25.htm",A,96
68,Crowe,"{'staff': 3, 'supports': 2, 'nothing': 2, 'audit': 2, 'clients': 5, 'working': 5, 'embarrassing': 1, 'good': 4, 'goals': 1, 'frankly': 1, 'francisco': 1, 'fill': 1, 'everyone': 4, 'every': 1, 'enjoyed': 1, 'coworkers': 1, 'easy': 1, 'dumbest': 1, 'hours': 1, 'collaborative': 1, 'career': 3, 'candidate': 1, 'best': 4, 'asked': 1, 'almost': 1, '2020': 1, 'hire': 1, 'internally': 1, 'interact': 1, 'ranks': 1, 'together': 1, 'technical': 1, 'support': 1, 'succeed': 1, 'still': 1, ""staff's"": 1, 'respect': 1, 'reputation': 1, 'rejects': 1, 'range': 1, 'turn': 1, 'qualifies': 1, 'pulls': 1, 'position': 1, 'people': 10, 'partner': 1, 'part': 1, 'operates': 1, 'nuts': 1, 'meeting': 1, '2005': 1, 'policy': 10, 'flexibility': 8, 'balance': 7, 'life': 7, 'home': 6, 'mobility': 6, 'time': 5, 'wear': 4, 'feel': 4, 'office': 4, 'ability': 4, 'benefits': 4, 'care': 4, 'culture': 4, 'values': 4, 'flexible': 4, 'allows': 3, 'opportunities': 3, 'team': 3, 'dress': 3, 'family': 3, 'job': 3, 'able': 3, 'new': 3, 'pto': 3, 'leave': 3, 'personal': 3, 'unique': 3, 'community': 2, 'remote': 2, 'remotely': 2, 'grow': 2, 'need': 2, 'policies': 2, 'anywhere': 2, 'help': 2, 'growth': 2, 'individuals': 2, 'long': 2, 'client': 2, 'focus': 2, 'opportunity': 2, 'trust': 2}",89% Employees say this is a great place to work,95% People here are given a lot of responsibility.,"95% When you join the company, you are made to feel welcome.",94% Management is honest and ethical in its business practices.,94% I feel good about the ways we contribute to the community.,"93% Our customers would rate the service we deliver as ""excellent.""",3.8,3.9,3.6,3.6,3.7,3.8,"https://www.glassdoor.com/Overview/Working-at-Crowe-EI_IE9414.11,16.htm",C-,80
69,Zillow,"{'great': 12, 'people': 20, 'culture': 15, 'competitive': 6, 'leadership': 8, 'open': 7, 'everyone': 10, 'benefits': 13, 'managers': 4, 'team': 8, 'manager': 4, 'good': 5, 'package': 3, 'employees': 3, 'values': 7, 'place': 3, 'lead': 3, 'motivated': 3, 'collaborative': 3, 'vision': 3, 'hire': 3, 'make': 3, 'base': 3, 'amazing': 7, 'salary': 3, 'working': 6, 'live': 2, 'match': 2, 'level': 4, 'mobility': 2, 'year': 2, 'moving': 2, 'need': 2, 'needs': 2, 'offers': 2, 'ones': 2, 'poor': 2, 'process': 2, 'projects': 2, 'purpose': 2, 'realtor': 2, 'resources': 2, 'sales': 2, 'part': 2, 'hard': 2, 'internal': 2, 'impactful': 2, 'along': 2, 'always': 2, 'balance': 5, 'best': 5, 'feel': 5, 'life': 3, 'time': 3, 'core': 3, 'office': 3, 'snacks': 3, 'truly': 3, 'care': 3, 'job': 3, 'free': 3, 'new': 3, 'help': 2, 'events': 2, 'fun': 2, 'love': 2, 'affinity': 2, 'unique': 2, 'opportunities': 2, 'networks': 2, 'family': 2, 'think': 2, 'feels': 2, 'zg': 2, 'belonging': 2, 'better': 2, 'happy': 2, 'health': 2, 'support': 2, 'equity': 2, 'strong': 2, 'teams': 2, 'career': 2, 'cares': 2, 'different': 2, 'genuinely': 2, 'group': 2}",90% Employees say this is a great place to work,"95% When you join the company, you are made to feel welcome.",94% I'm proud to tell others I work here.,93% Our facilities contribute to a good working environment.,93% I am able to take time off from work when I think it's necessary.,92% People celebrate special events around here.,3.9,4.1,4.3,3.7,4.3,3.7,"https://www.glassdoor.com/Overview/Working-at-Zillow-EI_IE40802.11,17.htm",A-,89
70,Atlassian,"{'great': 6, 'people': 10, 'open': 7, 'good': 5, 'engineering': 3, 'time': 5, 'less': 2, 'equity': 2, 'lots': 2, 'quickly': 2, 'team': 6, 'benefits': 4, 'process': 2, 'leadership': 2, 'culture': 8, 'employee': 2, 'well': 2, 'interview': 2, 'extremely': 2, 'experience': 3, 'empathetic': 1, 'diverse': 1, 'especially': 1, 'everything': 3, 'exact': 1, 'excellent': 1, 'full': 1, 'experienced': 1, 'fair': 1, 'family': 3, 'feedback': 1, 'difficult': 1, 'getting': 1, 'grants': 1, 'group': 1, 'growth': 1, 'harder': 1, 'health': 3, 'high': 1, 'honest': 1, 'humble': 1, 'direct': 1, 'working': 3, 'different': 1, 'backgrounds': 1, 'building': 1, 'bonus': 1, 'board': 1, 'better': 1, 'best': 3, 'base': 1, 'values': 10, 'feel': 3, 'amazing': 2, 'unique': 2, 'truly': 2, 'job': 2, 'care': 2, 'decisions': 2, 'level': 2, 'office': 2, 'life': 2, 'actually': 2, 'events': 2, 'first': 2, 'seen': 2, 'everyone': 2, 'live': 2, 'lives': 2, 'love': 2, 'balance': 2, 'community': 2, 'incredible': 2, 'think': 2, 'remote': 2, 'theres': 2, 'bring': 2, 'business': 2, 'customers': 2, 'genuinely': 2, 'long': 2, 'opportunities': 2, 'almost': 2, 'awesome': 2, 'believe': 2, 'friendly': 2, 'real': 2, 'teams': 2}",94% Employees say this is a great place to work,96% Management is honest and ethical in its business practices.,96% I am able to take time off from work when I think it's necessary.,96% I'm proud to tell others I work here.,96% I feel good about the ways we contribute to the community.,96% People care about each other here.,4.4,4.5,4.4,4.1,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-Atlassian-EI_IE115699.11,20.htm",B+,85
71,Comcast NBCUniversal,"{'team': 16, 'people': 15, 'management': 8, 'time': 10, 'employees': 7, 'great': 7, 'working': 10, 'benefits': 16, 'leadership': 8, 'environment': 5, 'better': 7, 'business': 6, 'love': 7, 'always': 4, 'managers': 4, 'know': 4, 'goals': 3, 'back': 3, 'strong': 3, 'process': 3, 'priority': 3, 'positive': 3, 'personal': 3, 'directors': 3, 'opportunities': 5, 'needs': 3, 'everyone': 5, 'good': 6, 'making': 3, 'future': 3, 'department': 3, 'level': 5, 'best': 6, 'insurance': 3, 'inclusive': 3, 'assistance': 3, 'long': 3, 'years': 3, '401k': 2, 'manager': 2, 'medical': 2, 'doesn': 2, 'meetings': 2, 'diverse': 2, 'money': 2, 'well': 2, 'offer': 2, 'trust': 2, 'opportunity': 4, 'package': 2, 'paid': 2, 'family': 6, 'feel': 4, 'culture': 3, 'job': 3, 'new': 3, 'care': 3, 'amazing': 2, 'diversity': 2, 'life': 2, 'help': 2, 'products': 2, 'services': 2, 'truly': 2, 'balance': 2, 'open': 2, 'able': 2, 'ability': 2, 'community': 2, 'home': 2, 'unique': 2, 'cares': 2, 'fun': 2, 'need': 2, 'awesome': 2, 'customers': 2, 'different': 2, 'free': 2, 'perks': 2, 'technology': 2, 'atmosphere': 2, 'career': 2, 'experience': 2, 'health': 2, 'proud': 2, 'provide': 2}",93% Employees say this is a great place to work,"95% When you join the company, you are made to feel welcome.",94% I am able to take time off from work when I think it's necessary.,94% I'm proud to tell others I work here.,93% Management is honest and ethical in its business practices.,"93% When I look at what we accomplish, I feel a sense of pride.",3.5,3.4,3.3,3,3.8,3.4,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm",B,74
72,Hyland,"{'people': 13, 'workplace': 2, 'always': 2, 'employees': 2, 'treat': 2, 'feel': 8, 'training': 2, 'better': 2, 'feeling': 2, 'supported': 2, 'years': 1, 'getting': 1, 'family': 7, 'feedback': 1, 'finding': 1, 'hear': 1, 'great': 1, 'experienced': 1, 'imagine': 1, 'immediately': 1, 'integrity': 1, 'interacted': 1, 'interest': 1, 'fair': 1, 'energy': 1, 'experience': 1, 'everyone': 5, 'accessibility': 1, 'advancement': 1, 'another': 1, 'attributed': 1, 'balance': 9, 'bonuses': 1, 'care': 5, 'changed': 1, 'culture': 6, 'describe': 1, 'difference': 1, 'empathetic': 1, 'employed': 1, 'largely': 1, 'every': 1, 'internally': 1, 'life': 9, 'last': 1, 'teammates': 1, 'quarterly': 1, 'quickly': 1, 'receive': 1, 'received': 1, 'remember': 1, 'time': 7, 'events': 5, 'team': 4, 'benefits': 4, 'onsite': 4, 'unique': 4, 'working': 4, 'best': 3, 'truly': 3, 'flexibility': 3, 'fun': 3, 'job': 3, 'perks': 3, 'help': 3, 'sabbatical': 3, 'home': 3, 'remote': 3, 'opportunities': 3, 'paid': 3, 'free': 2, 'community': 2, 'love': 2, 'good': 2, 'amazing': 2, 'atmosphere': 2, 'nice': 2, 'office': 2, 'think': 2, 'need': 2, 'able': 2, 'business': 2, 'happy': 2, 'leave': 2, 'customers': 2, 'new': 2, 'personal': 2, 'program': 2, 'daycare': 2, 'flex': 2, 'hard': 2, 'support': 2, 'coworkers': 2}",89% Employees say this is a great place to work,96% I am able to take time off from work when I think it's necessary.,"96% When you join the company, you are made to feel welcome.",94% I feel good about the ways we contribute to the community.,94% People care about each other here.,93% I'm proud to tell others I work here.,3.5,3.8,4,3.2,3,3.2,"https://www.glassdoor.com/Overview/Working-at-Hyland-EI_IE9432.11,17.htm",C,76
73,Cadence,"{'people': 10, 'team': 7, 'time': 7, 'good': 5, 'help': 4, 'working': 4, 'balance': 4, 'customers': 4, 'culture': 4, 'benefits': 3, 'life': 3, 'feel': 3, 'volunteer': 3, 'new': 3, 'opportunities': 3, 'best': 3, 'technology': 3, 'family': 2, 'flexible': 2, 'industry': 2, 'job': 2, 'care': 2, 'customer': 2, 'community': 2, 'different': 2, 'flexibility': 2, 'products': 2, 'unique': 2, 'support': 2, 'better': 2, 'ceo': 2, 'everyone': 2, 'experience': 2, 'hard': 2, 'together': 2, 'high': 2, 'love': 2, 'excellent': 2, 'opportunity': 2, 'business': 2, 'group': 2, 'leadership': 2, 'level': 2, 'technical': 2, 'world': 2, 'events': 2, 'health': 2, 'need': 2, 'office': 2, 'vacation': 2}",87% Employees say this is a great place to work,"94% When you join the company, you are made to feel welcome.",93% I am able to take time off from work when I think it's necessary.,93% I feel good about the ways we contribute to the community.,92% I'm proud to tell others I work here.,91% Management is honest and ethical in its business practices.,4.1,4.2,4.2,3.8,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Cadence-Design-Systems-EI_IE1217.11,33.htm",C,68
74,Perkins Coie LLP,"{'people': 10, 'culture': 6, 'law': 5, 'firms': 4, 'feel': 4, 'office': 4, 'everyone': 4, 'benefits': 3, 'care': 3, 'support': 3, 'working': 3, 'time': 3, 'attorneys': 3, 'good': 3, 'team': 3, 'opportunities': 3, 'clients': 3, 'unique': 3, 'best': 3, 'community': 2, 'new': 2, 'professional': 2, 'service': 2, 'personal': 2, 'sabbatical': 2, 'truly': 2, 'job': 2, 'level': 2, 'program': 2, 'family': 2, 'partners': 2, 'levels': 2, 'excellent': 2, 'know': 2, 'respect': 2, 'thank': 2, 'amazing': 2, 'commitment': 2, 'opportunity': 2, 'genuinely': 2, 'life': 2, 'practice': 2, 'balance': 2, 'business': 2, 'development': 2, 'diversity': 2, 'events': 2, 'special': 2, 'training': 2, 'better': 2}",91% Employees say this is a great place to work,"96% Our customers would rate the service we deliver as ""excellent.""","95% When you join the company, you are made to feel welcome.",94% People here are given a lot of responsibility.,94% Management is honest and ethical in its business practices.,94% I am offered training or development to further myself professionally.,3.8,3.8,3.8,3.5,4.2,3.6,"https://www.glassdoor.com/Overview/Working-at-Perkins-Coie-EI_IE3326.11,23.htm",A-,87
75,"Regeneron Pharmaceuticals, Inc.","{'people': 10, 'science': 6, 'benefits': 6, 'culture': 5, 'feel': 5, 'good': 4, 'team': 4, 'patients': 4, 'unique': 4, 'time': 3, 'events': 3, 'free': 3, 'opportunities': 3, 'working': 3, 'new': 3, 'care': 3, 'everyone': 3, 'life': 3, 'help': 3, 'community': 2, 'job': 2, 'family': 2, 'truly': 2, 'focus': 2, 'best': 2, 'business': 2, 'think': 2, 'hard': 2, 'love': 2, 'balance': 2, 'first': 2, 'right': 2, 'cares': 2, 'leadership': 2, 'opportunity': 2, 'better': 2, 'ideas': 2, 'cream': 2, 'amazing': 2, 'ice': 2, 'different': 2, 'group': 2, 'sense': 2, 'small': 2, 'big': 2, 'together': 2, 'friendly': 2, 'perks': 2, 'personal': 2, 'level': 2}",88% Employees say this is a great place to work,95% I feel good about the ways we contribute to the community.,94% I'm proud to tell others I work here.,"94% When you join the company, you are made to feel welcome.",93% People celebrate special events around here.,"92% Our customers would rate the service we deliver as ""excellent.""",3.7,3.6,3.3,3.3,4.1,3.6,"https://www.glassdoor.com/Overview/Working-at-Regeneron-Pharmaceuticals-EI_IE981.11,36.htm",NA,-1
76,Progressive Insurance,"{'employees': 11, 'team': 14, 'progressive': 10, 'people': 20, 'open': 10, 'love': 11, 'time': 11, 'everything': 6, 'feel': 12, 'hard': 6, 'nice': 6, 'best': 9, 'bonus': 6, 'everyone': 9, 'culture': 10, 'great': 5, 'good': 7, 'every': 4, 'training': 4, 'coworkers': 6, 'gainshare': 8, 'supportive': 4, 'policy': 4, 'better': 6, 'really': 4, 'management': 4, 'leadership': 4, 'feedback': 4, 'care': 7, 'positive': 6, 'employee': 4, 'needs': 4, 'year': 4, 'paid': 4, 'helpful': 4, 'help': 6, 'environment': 4, 'door': 4, 'works': 4, 'questions': 3, 'supervisor': 3, 'overall': 3, 'enjoy': 3, 'bring': 3, 'core': 6, 'want': 3, 'stress': 3, 'issues': 3, 'home': 10, 'diversity': 7, 'earned': 3, 'life': 5, 'balance': 5, 'flexibility': 4, 'flexible': 4, 'working': 3, 'family': 3, 'opportunities': 3, 'job': 3, 'values': 3, 'benefits': 3, 'schedule': 3, 'truly': 3, 'opportunity': 2, 'inclusion': 2, 'office': 2, 'amazing': 2, 'cares': 2, 'different': 2, 'ability': 2, 'personal': 2, 'unique': 2, 'first': 2, 'support': 2, 'encouraged': 2, 'growth': 2, 'allows': 2, 'groups': 2, 'new': 2, 'health': 2, 'art': 2, 'community': 2}",92% Employees say this is a great place to work,"97% When you join the company, you are made to feel welcome.",94% Management is honest and ethical in its business practices.,93% Our executives fully embody the best characteristics of our company.,93% I am given the resources and equipment to do my job.,93% I'm proud to tell others I work here.,3.8,4,3.3,3.5,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Progressive-Insurance-EI_IE546.11,32.htm",A,85
77,Power Home Remodeling,"{'extremely': 4, 'feel': 6, 'positive': 5, 'working': 4, 'best': 5, 'friends': 4, 'leadership': 4, 'leave': 2, 'overall': 2, 'commission': 2, 'sure': 2, 'team': 4, 'home': 2, 'always': 2, 'well': 2, 'better': 4, 'encourages': 1, 'even': 1, 'every': 1, 'everyday': 1, 'everyone': 6, 'excitement': 1, 'experience': 1, 'fail': 1, 'afraid': 1, 'flowed': 1, 'accessible': 1, 'follow': 1, 'able': 1, 'full': 1, 'genuinely': 1, 'grass': 1, 'happening': 1, 'happy': 1, 'helping': 1, 'higher': 1, 'environment': 1, 'employees': 1, 'benefits': 1, 'amount': 1, 'care': 3, 'base': 1, 'challenging': 1, 'cohesive': 1, 'collaborative': 1, 'comfortable': 1, 'asked': 1, 'compensated': 1, 'compensation': 1, 'conversation': 1, 'culture': 8, 'people': 10, 'family': 5, 'mexico': 3, 'help': 3, 'opportunity': 3, 'growth': 2, 'hard': 2, 'amazing': 2, 'events': 2, 'opportunities': 2, 'trip': 2, 'grow': 2, 'unique': 2, 'time': 2, 'initiative': 2, 'life': 2, 'training': 2, 'personal': 2, 'office': 2, 'outside': 2, 'business': 2, 'job': 2, 'succeed': 2, 'support': 2, 'first': 2, 'truly': 2, 'veterans': 2, 'special': 2, 'diversity': 2, 'new': 2, 'wants': 2, 'cares': 2, 'development': 2, 'fun': 2, 'atmosphere': 2, 'camaraderie': 2, 'conferences': 2, 'level': 2, 'others': 2}",96% Employees say this is a great place to work,"100% When you join the company, you are made to feel welcome.",98% Management is competent at running the business.,98% Our facilities contribute to a good working environment.,98% People care about each other here.,97% Our executives fully embody the best characteristics of our company.,4.6,4.8,3.7,4.7,4.6,4.7,"https://www.glassdoor.com/Overview/Working-at-Power-Home-Remodeling-EI_IE405781.11,32.htm",A+,92
78,Kronos Incorporated,"{'people': 15, 'employees': 5, 'love': 7, 'everyone': 8, 'great': 4, 'experience': 3, 'customers': 6, 'meeting': 3, 'employee': 3, 'friendly': 3, 'care': 7, 'well': 3, 'much': 2, 'nice': 2, 'opportunity': 2, 'market': 2, 'phenomenal': 2, 'interviewer': 2, 'helps': 2, 'move': 2, 'working': 5, 'fact': 2, 'extremely': 2, 'rounded': 2, 'environment': 2, 'engaged': 2, 'done': 2, 'coworkers': 2, 'compensation': 2, 'catching': 2, 'best': 5, 'amazing': 4, 'right': 2, 'highly': 2, 'trust': 4, 'unlimited': 7, 'together': 4, 'take': 2, 'teammates': 2, 'understand': 2, 'encouraged': 1, 'daily': 1, 'dictate': 1, 'different': 1, 'diverse': 1, 'diversity': 1, 'drop': 1, 'underpays': 1, 'typically': 1, 'encourage': 1, 'seeing': 1, 'time': 9, 'balance': 9, 'life': 8, 'culture': 5, 'feel': 5, 'family': 5, 'truly': 5, 'team': 4, 'ceo': 4, 'job': 4, 'benefits': 4, 'home': 4, 'good': 3, 'aron': 3, 'remote': 3, 'flexibility': 3, 'first': 3, 'pto': 3, 'support': 3, 'need': 3, 'vacation': 3, 'help': 3, 'leadership': 3, 'new': 3, 'personal': 2, 'cares': 2, 'better': 2, 'policy': 2, 'ain': 2, 'know': 2, 'needed': 2, 'ability': 2, 'customer': 2, 'excellent': 2, 'opportunities': 2, 'respect': 2, 'unique': 2, 'flexible': 2, 'worklife': 2}",93% Employees say this is a great place to work,"96% When you join the company, you are made to feel welcome.",95% Our facilities contribute to a good working environment.,95% I am able to take time off from work when I think it's necessary.,95% I'm proud to tell others I work here.,94% People here are given a lot of responsibility.,4,4,4.1,3.7,4,3.7,"https://www.glassdoor.com/Overview/Working-at-Kronos-Incorporated-EI_IE2196.11,30.htm",A,88
79,Children's Healthcare of Atlanta,"{'better': 12, 'nice': 8, 'people': 14, 'good': 9, 'hours': 6, 'customers': 6, 'need': 5, 'friendly': 5, 'best': 9, 'time': 8, 'great': 4, 'management': 4, 'help': 7, 'employees': 4, 'know': 4, 'workers': 4, 'everything': 3, 'district': 3, 'paid': 3, 'quality': 3, 'able': 5, 'experience': 3, 'needs': 3, 'things': 3, 'fast': 3, 'makes': 3, 'goes': 3, 'less': 3, 'hard': 3, 'family': 8, 'insurance': 3, 'well': 3, 'around': 3, 'always': 3, 'together': 3, 'along': 3, 'different': 2, 'sell': 2, 'seeing': 2, 'coworkers': 5, 'schedule': 2, 'sales': 2, 'every': 2, 'growing': 2, 'environment': 2, 'really': 2, 'enjoyable': 2, 'anything': 2, 'love': 8, 'made': 2, 'make': 2, 'care': 10, 'children': 8, 'childrens': 8, 'patients': 6, 'choa': 6, 'benefits': 6, 'feel': 5, 'kids': 5, 'life': 5, 'families': 4, 'everyone': 4, 'working': 4, 'team': 4, 'balance': 3, 'concierge': 3, 'truly': 3, 'hospital': 3, 'job': 3, 'community': 3, 'service': 3, 'health': 3, 'support': 3, 'opportunities': 3, 'unique': 3, 'wellness': 3, 'mission': 3, 'amazing': 3, 'caring': 2, 'child': 2, 'cares': 2, 'parents': 2, 'events': 2, 'new': 2, 'patient': 2, 'leadership': 2, 'programs': 2, 'special': 2, 'provide': 2, 'dogs': 2, 'believe': 2}",85% Employees say this is a great place to work,95% I'm proud to tell others I work here.,95% I feel good about the ways we contribute to the community.,"93% When you join the company, you are made to feel welcome.","92% When I look at what we accomplish, I feel a sense of pride.","91% Our customers would rate the service we deliver as ""excellent.""",3.9,4,3.7,3.2,3.7,3.5,"https://www.glassdoor.com/Overview/Working-at-Children-s-Healthcare-of-Atlanta-EI_IE24288.11,43.htm",D,61
80,Workiva Inc.,"{'team': 11, 'family': 6, 'culture': 10, 'people': 14, 'hard': 7, 'good': 7, 'grow': 3, 'employees': 3, 'many': 3, 'customers': 5, 'benefits': 6, 'care': 5, 'opportunities': 5, 'every': 3, 'enjoy': 2, 'office': 4, 'start': 2, 'positive': 2, 'collaborative': 2, 'flexibility': 5, 'part': 2, 'seen': 2, 'health': 2, 'projects': 2, 'employee': 2, 'never': 2, 'environment': 2, 'room': 2, 'right': 2, 'offer': 2, 'change': 2, 'lots': 2, 'feedback': 2, 'candidate': 2, 'make': 2, 'learn': 2, 'almost': 4, 'workiva': 2, 'well': 2, 'know': 2, 'keep': 2, 'listen': 2, 'transparent': 2, 'together': 2, 'time': 6, 'incredibly': 2, 'truly': 5, 'making': 2, 'success': 4, 'sure': 2, 'inclined': 1, 'everyone': 5, 'feel': 4, 'amazing': 4, 'help': 4, 'leave': 3, 'love': 3, 'new': 3, 'working': 3, 'job': 3, 'ceo': 3, 'home': 3, 'best': 3, 'better': 3, 'parental': 3, 'ability': 2, 'fun': 2, 'life': 2, 'unique': 2, 'able': 2, 'think': 2, '12': 2, 'cares': 2, 'executive': 2, 'willing': 2, 'balance': 2, 'open': 2, 'opportunity': 2, 'trust': 2, 'business': 2, 'ideas': 2, 'level': 2, 'teams': 2, 'weeks': 2, 'collaboration': 2}",96% Employees say this is a great place to work,97% I'm proud to tell others I work here.,97% People celebrate special events around here.,96% Management is honest and ethical in its business practices.,96% Our facilities contribute to a good working environment.,96% I am able to take time off from work when I think it's necessary.,3.9,4.1,4.1,3.7,3.8,3.6,"https://www.glassdoor.com/Overview/Working-at-Workiva-EI_IE833668.11,18.htm",A+,81
81,"Nugget Market, Inc.","{'people': 10, 'family': 9, 'associates': 9, 'fun': 7, 'feel': 6, 'everyone': 6, 'working': 4, 'store': 4, 'job': 4, 'time': 4, 'care': 3, 'unique': 3, 'team': 3, 'good': 3, 'opportunities': 3, 'love': 3, 'best': 3, 'benefits': 3, 'guests': 3, 'help': 3, 'better': 3, 'associate': 3, 'positive': 2, 'truly': 2, 'know': 2, 'money': 2, 'hard': 2, 'nice': 2, 'special': 2, 'opportunity': 2, 'amazing': 2, 'give': 2, 'new': 2, 'happy': 2, 'cares': 2, 'grow': 2, 'life': 2, 'personal': 2, 'win': 2, 'friendly': 2, 'learn': 2, 'culture': 2, 'guest': 2, 'coworkers': 2, 'experience': 2, 'parties': 2, 'community': 2, 'encouraged': 2, 'beyond': 2, 'cash': 2}",89% Employees say this is a great place to work,"94% When you join the company, you are made to feel welcome.","93% Our customers would rate the service we deliver as ""excellent.""",91% I am given the resources and equipment to do my job.,91% Our facilities contribute to a good working environment.,90% Management is competent at running the business.,3.8,4,3.6,3.8,3.8,3.5,"https://www.glassdoor.com/Overview/Working-at-Nugget-Market-EI_IE148409.11,24.htm",NA,-1
82,Burns & McDonnell,"{'team': 7, 'people': 8, 'great': 3, 'good': 5, 'communication': 3, 'management': 3, 'everyone': 6, 'dishonest': 3, 'rate': 2, 'coworkers': 2, 'culture': 5, 'daily': 2, 'positive': 2, 'employee': 2, 'hours': 2, 'overall': 2, 'complete': 2, 'longer': 2, 'little': 2, 'learn': 2, 'jobs': 2, 'goal': 2, 'really': 2, 'working': 4, 'compensation': 2, 'successful': 4, 'awful': 2, 'together': 4, 'budget': 2, 'always': 2, 'things': 2, 'competitive': 1, 'friends': 1, 'families': 1, 'favoritism': 1, 'feel': 3, 'asked': 1, 'anything': 1, 'focused': 1, 'amount': 1, 'another': 1, 'extension': 1, 'going': 1, 'along': 1, 'happy': 1, 'heads': 1, 'healthcare': 1, 'helps': 1, 'high': 1, 'extremely': 1, 'basis': 1, 'esop': 10, 'ownership': 4, 'program': 2, 'owned': 2, 'stock': 2, 'success': 2, 'benefits': 2, 'best': 2, 'unique': 2, 'retirement': 2, 'owners': 2, 'clients': 2, 'help': 2, '100': 2, 'benefit': 2, 'job': 2, 'care': 2, 'hard': 2, 'plan': 2, 'health': 2, 'truly': 2, 'bonus': 2, 'profits': 2, 'pharmacy': 2, 'community': 2, 'own': 2, 'owner': 2, 'family': 2, 'projects': 2, 'time': 2, 'opportunities': 2, 'share': 2, 'better': 2, 'employeeowned': 2, 'office': 2, 'new': 2, 'sense': 2, 'center': 2, 'project': 2, 'level': 2, 'amazing': 2}",91% Employees say this is a great place to work,95% People here are given a lot of responsibility.,95% I'm proud to tell others I work here.,"95% Our customers would rate the service we deliver as ""excellent.""",94% I believe management would lay people off only as a last resort.,94% Management is honest and ethical in its business practices.,3.9,3.9,3.3,3.5,3.9,3.7,"https://www.glassdoor.com/Overview/Working-at-Burns-and-McDonnell-EI_IE26324.11,30.htm",A,81
